الاعراض,x,الامراض,y,Symptoms,Disorders,finish
صعوبة في النوم,x0,الارق,y0,Sleeping difficulties,Insomnia,
فرط في النوم,x1,الم وهمي,y1,Oversleeping,Pain disorder/Psychogenic pain,
اضطراب في النوم,x2,ادمان القمار,y2,Sleeping disorders,Gampling disorder,
الشعور بالتعب بشكل مستمر,x3,انكار,y3,Constant fatigue,Denial,
الصداع,x4,شخصية ازدرائية,y4,Headache,Disdainfol Personality,
القلق والتوتر,x5,اضطراب اكتئابي,y5,Anxiety and stress,Major depressive disorders,
الحساسية الكبيرة للعوامل الخارجية (الاضواء والاصوات...),x6,جنون العظمة,y6,Hyperesthesia (Lights + Sounds...),Delusional disorder,
الاضطرابات الهضمية,x7,خرس انتقائي,y7,Digestive disorders,Selectivemutism,
الاضطرابات العصبية,x8,خلل اداء تنموي,y8,Nerve disorders,Developmental Coordination Disorder,
الاضطرابات الجنسية,x9,داء هنتنغتون,y9,Sexual disorders,Huntington Disease,
المزاجية الحادة,x10,ذهان,y10,Extreme mood swings,Psychosis Disorder,
الشعور بالالم,x11,رهاب,y11,Constant feeling of pain,Generalized Phobia,
الشعور بالإكتئاب,x12,رهاب الاحتجاز,y12,Depression,Claustrophobia,
العزلة,x13,رهاب الخلاء,y13,Social isolation,Agoraphobia,
الرغبة في الدين بشكل مستمر,x14,رهاب محدد,y14,Constant debt desire,Specific phobia,
الرفض وعدم التقبل للآخرين,x15,سلوك معادي  للمجتمع,y15,Rejecting and unaccepting others,Antisocial Behavior,
التجاهل والاعراض عن الآخرين,x16,اضطراب فرط الحركة ونقص الانتباه,y16,Disregarding and avoiding others,Attention-Deficit/Hyperactivity Disorder (ADHD),
الثقة الزائدة في النفس,x17,شلل النوم,y17,Overconfidence,Sleepparalysis,
ضعف الثقة في النفس,x18,اضطراب ثنائي القطب,y18,Lack of Confidence,Bipolar Disorder,
المبالغة في الحديث عن الذات,x19,صرع,y19,Overtalking about the self,Epilepsy,
الغرور,x20,اضطراب القلق العام,y20,Vanity/Arrogance,Generalized Anxiety Disorders,
الجراءة االزائدة,x21,عسر الجماع,y21,Overcourage,Dyspareunia,
ضعف العلاقات الاجتماعية,x22,عسر القراءة,y22,Low social skills,Dyslexia,
صعوبة القيام بالمهام وإنهاؤها,x23,عنانة,y23,Difficulties in doing and ending tasks,Erectile dysfunction,
الشعور بالملل,x24,فرط النوم مجهول السبب,y24,Boredom,Idiopathic Hypersomnia,
استخدام وسائل التواصل الاجتماعي بشكل مفرط,x25,فصام,y25,Excessive social media usage,Schizophrenia ,
الانفاق بكثرة,x26,اضطراب التشوه الجسمي,y26,Overspending,Body Dysmorphic Disorder (BDD),
التشتت,x27,اضطراب الجسدنة,y27,Distraction,Dyspraxia,
السلوكيات الضارة (التدخين والكحول),x28,اضطراب ما بعد الصدمة,y28,Harmful behaviors (Smoking + Drinking),Post-Traumatic Stress Disorder,
الرغبة في جذب انتباه الاخرين,x29,اضطراب الشخصية,y29,Constant need for attention,Personality Disorder,
الاهتمام الشديد بالمظهر الخارجي,x30,اضطراب الشخصية الاجتنابي,y30,Overcaring for the apperance,Avoidant Personality Disorder,
تقبل الرفض من الاخرين,x31,اضطراب الشخصية التمثيلي,y31,Overacceptance of rejection,Histrionic Personality Disorder,
عدم تقبل الرفض من الاخرين,x32,اضطراب الشخصية الحدي,y32,Unacceptance of rejections,Borderline Personality Disorder,
الثرثرة,x33,اضطراب الشخصية الزوراني,y33,Overtalking,Paranoid Personality Disorder,
عدم القدرة على التواصل مع الاخرين,x34,اضطراب الشخصية الفصامي,y34,Poor comunication skills,Schizotypal Personality Disorder,
عدم القدرة على الاستيعاب والفهم من الاخرين,x35,اضطراب الشخصية المعادية للمجتمع,y35,Poor expressing ability of thoutghs,Antisocial Personality Disorder,
الشعور الشديد بالخجل,x36,اضطراب الشخصية النرجسية,y36,Overshying,Narcissistic Personality Disorder,
عدم القدرة على الحركة,x37,اضطراب الشخصية الوسواسية,y37,Movment problems,Obsessive-compulsive Personality Disorder,
التناقض في الأفكار والأفعال,x38,,,Conflected Thoughts/Actions ,,
عدم القدرة على التعلم,x39,,,Poor learning ability,,
عدم القدرة على التكيف والتأقلم,x40,,,Poor adjustment ability,,
النشاط الزائد,x41,,,Hyper activity,,
الشعور بالحزن بشكل مستمر,x42,,,Constant sadness,,
الشعور باليأس بشكل مستمر,x43,,,Constant hopelessness,,
عدم الاهتمام والمتعة في الحياة,x44,,,Lossing joy and interst in life,,
عدم القدرة على القيام بالنشاطات اليومية,x45,,,Unability of doing daily activities,,
التفكير بالموت والانتحار,x46,,,Thoughts of death and suicide,,
الشعور بالعجز بشكل مستمر,x47,,,Constant feeling of incapacity,,
فقدان الشهية,x48,,,Loss of appetite,,
الشهية الزائدة,x49,,,Excessive appetite,,
